transaction_id,target_id,acquirer_id,announce_date,close_date,deal_year,deal_quarter,deal_type,financing_type,deal_size_mm,ev_ebitda_multiple,ev_revenue_multiple,synergy_pct_of_deal,outcome,strategic_rationale_tags,num_bidders,days_to_close,target_name,target_sector,target_sub_sector,target_geography,target_ownership_type,target_ltm_revenue_mm,target_ebitda_margin_pct,acquirer_name,acquirer_type,acquirer_sector_focus,acquirer_geographic_reach,sector_median_ev_ebitda,sector_median_ev_revenue,ev_ebitda_pct_vs_sector_median,ev_revenue_pct_vs_sector_median,acquirer_fiscal_revenue_mm,acquirer_fiscal_ebitda_mm,acquirer_net_debt_mm,acquirer_cash_mm,acquirer_total_assets_mm,deal_size_tier
TXN-0012,TGT-0020,ACQ-006,2015-04-23,2015-11-28,2015,Q2,SPAC Merger,Cash + Stock,428.3,6.0,7.41,6.4,Closed,Brand Value|Supply Chain Integration|Diversification,3,219,Forge Revenue Solutions,Revenue Cycle,Patient Financial Services,Southeast,Nonprofit,238.6,20.6,Molina Healthcare,Strategic,Health Insurance,Multi-Regional,17.9,4.5,-66.4804469273743,64.66666666666667,2081.6,235.2,588.5,215.4,6112.7,Mid-Market
TXN-0394,TGT-0040,ACQ-011,2015-08-11,2016-01-19,2015,Q3,Recapitalization,Seller Financing,398.3,10.7,1.59,16.9,Closed,Supply Chain Integration|Cost Synergies|Brand Value,5,161,Bridgepoint Benefits Group,Health Insurance,Dental Insurance,Mountain West,Physician-Owned,76.0,23.6,Veeva Systems,Strategic,Health IT,National,14.7,3.52,-27.2108843537415,-54.829545454545446,2171.3,534.1,1012.4,113.7,4956.5,Mid-Market
TXN-0336,TGT-0058,ACQ-007,2015-04-27,2015-09-26,2015,Q2,Merger of Equals,Leveraged,598.2,17.2,5.15,7.1,Closed,Platform Build|Brand Value|Cost Synergies|Regulatory Arbitrage|Cross-Sell Opportunity,5,152,Atlas Software,Health IT,Data Analytics,Northeast,PE-Backed,224.7,12.1,Amedisys,Strategic,Home Health/Hospice,National,15.5,3.74,10.967741935483867,37.70053475935829,1547.7,229.1,763.3,160.9,2946.5,Large
TXN-0465,TGT-0068,ACQ-020,2015-12-12,2016-04-25,2015,Q4,Platform Investment,Cash + Stock,125.2,12.0,2.43,6.2,Closed,Vertical Integration|Market Consolidation|Margin Improvement|Brand Value,4,135,Unity Billing Solutions,Revenue Cycle,Claims Management,Southwest,Private,116.8,22.5,Qualifacts,Strategic,Health IT,National,12.0,4.43,0.0,-45.14672686230248,340.1,44.2,91.4,7.8,648.2,Mid-Market
TXN-0126,TGT-0075,ACQ-012,2015-11-08,,2015,Q4,Platform Investment,Leveraged,241.7,9.4,7.27,19.3,Pending,Geographic Expansion|Margin Improvement|Revenue Synergies|Supply Chain Integration,1,,Landmark Health Data,Health IT,Revenue Cycle Tech,Multi-Regional,Private,5.6,26.6,Phreesia,Strategic,Health IT,National,12.7,2.39,-25.98425196850393,204.18410041841,396.7,67.4,75.5,34.7,1118.9,Mid-Market
TXN-0167,TGT-0091,ACQ-011,2015-01-17,2015-04-25,2015,Q1,Merger of Equals,Leveraged,356.2,12.4,6.6,15.9,Closed,Brand Value|Talent Acquisition,1,98,Apex Mental Wellness,Behavioral Health,Eating Disorder Treatment,Multi-Regional,Physician-Owned,301.6,30.8,Veeva Systems,Strategic,Health IT,National,14.4,3.01,-13.88888888888889,119.26910299003322,2171.3,534.1,1012.4,113.7,4956.5,Mid-Market
TXN-0019,TGT-0103,ACQ-007,2015-05-06,2016-02-25,2015,Q2,Carve-out,Mixed,782.0,15.0,1.63,16.3,Closed,Platform Build|Regulatory Arbitrage|Talent Acquisition|High Growth,8,295,Axis Revenue Solutions,Revenue Cycle,Claims Management,Great Plains,Private,909.2,31.2,Amedisys,Strategic,Home Health/Hospice,National,17.9,4.5,-16.20111731843575,-63.77777777777778,1547.7,229.1,763.3,160.9,2946.5,Large
TXN-0319,TGT-0108,ACQ-007,2015-04-09,2016-03-21,2015,Q2,Strategic Acquisition,Cash + Stock,250.3,21.8,7.69,13.2,Closed,Vertical Integration|Cost Synergies|Market Consolidation|Cross-Sell Opportunity,4,347,Halcyon Physician Partners,Physician Groups,Orthopedic Groups,Mountain West,Nonprofit,610.3,19.0,Amedisys,Strategic,Home Health/Hospice,National,17.5,3.77,24.571428571428573,103.97877984084883,1547.7,229.1,763.3,160.9,2946.5,Mid-Market
TXN-0385,TGT-0115,ACQ-004,2015-04-03,,2015,Q2,Bolt-on Acquisition,Leveraged,192.7,7.7,6.01,16.8,Withdrawn,Vertical Integration|Supply Chain Integration,1,,Yarrow Medical Group,Healthcare Services,Lab Services,Great Plains,Nonprofit,82.1,30.9,Elevance Health,Strategic,Health Insurance,National,12.5,3.35,-38.4,79.40298507462686,6047.4,1088.5,3197.5,399.8,17551.5,Mid-Market
TXN-0322,TGT-0116,ACQ-018,2015-02-04,,2015,Q1,Minority Investment,Cash + Stock,762.1,20.9,1.69,12.0,Withdrawn,Platform Build|Talent Acquisition|Diversification|Market Consolidation|Cross-Sell Opportunity,5,,Navigator Technologies,Health IT,Clinical Decision Support,Southeast,Public,26.5,24.9,Medline Industries,Strategic,Medical Devices,National,11.6,4.37,80.17241379310343,-61.327231121281464,3850.4,631.5,1364.6,133.8,10239.6,Large
