transaction_id,target_id,acquirer_id,announce_date,close_date,deal_year,deal_quarter,deal_type,financing_type,deal_size_mm,ev_ebitda_multiple,ev_revenue_multiple,synergy_pct_of_deal,outcome,strategic_rationale_tags,num_bidders,days_to_close
TXN-0001,TGT-0027,ACQ-012,2018-02-20,,2018,Q1,Minority Investment,All Cash,694.8,20.7,3.04,4.5,Pending,Diversification|Technology Capability,8,
TXN-0002,TGT-0125,ACQ-030,2020-11-28,,2020,Q4,Leveraged Buyout,Mixed,612.0,10.7,0.85,10.0,Terminated,Regulatory Arbitrage|Revenue Synergies|Market Consolidation|Geographic Expansion,4,
TXN-0003,TGT-0158,ACQ-007,2018-04-21,2019-02-26,2018,Q2,Minority Investment,Stock-for-Stock,778.5,8.7,2.81,3.7,Closed,Market Consolidation|Diversification|Margin Improvement|Brand Value|Platform Build,4,311
TXN-0004,TGT-0202,ACQ-005,2024-03-06,2024-09-29,2024,Q1,Minority Investment,Mixed,200.9,11.0,3.07,16.6,Closed,Vertical Integration|Technology Capability|Platform Build|Revenue Synergies|Cost Synergies,6,207
TXN-0005,TGT-0231,ACQ-030,2020-10-07,2021-01-06,2020,Q4,Bolt-on Acquisition,Seller Financing,772.2,9.9,3.02,7.5,Closed,Supply Chain Integration|Regulatory Arbitrage|Vertical Integration,2,91
TXN-0006,TGT-0168,ACQ-010,2016-04-01,,2016,Q2,Merger of Equals,Stock-for-Stock,53.4,11.7,6.7,6.0,Terminated,Talent Acquisition|Market Consolidation|Brand Value|Technology Capability|Platform Build,7,
TXN-0007,TGT-0032,ACQ-015,2017-05-19,2017-10-12,2017,Q2,Minority Investment,Leveraged,472.1,10.9,6.65,3.4,Closed,Supply Chain Integration|Cost Synergies|Platform Build|Diversification|Brand Value,2,146
TXN-0008,TGT-0222,ACQ-026,2022-03-16,,2022,Q1,Minority Investment,Mixed,150.7,10.1,2.15,7.8,Withdrawn,Cross-Sell Opportunity|Brand Value,3,
TXN-0009,TGT-0211,ACQ-036,2022-02-11,,2022,Q1,Bolt-on Acquisition,Leveraged,122.7,9.8,7.17,11.9,Withdrawn,Supply Chain Integration|Market Consolidation|Diversification|Margin Improvement|Talent Acquisition,1,
TXN-0010,TGT-0199,ACQ-018,2017-01-09,2017-11-21,2017,Q1,Merger of Equals,Seller Financing,38.0,21.4,2.82,16.7,Closed,Supply Chain Integration|Cross-Sell Opportunity|Technology Capability|Cost Synergies,8,316
TXN-0011,TGT-0274,ACQ-004,2018-10-16,2019-05-29,2018,Q4,Merger of Equals,Cash + Stock,200.7,12.0,6.11,9.1,Closed,Cross-Sell Opportunity|Technology Capability|Supply Chain Integration,1,225
TXN-0012,TGT-0020,ACQ-006,2015-04-23,2015-11-28,2015,Q2,SPAC Merger,Cash + Stock,428.3,6.0,7.41,6.4,Closed,Brand Value|Supply Chain Integration|Diversification,3,219
