acquirer_id,acquirer_name,acquirer_type,deal_count,total_deal_volume_mm,avg_ev_ebitda_multiple,avg_ev_revenue_multiple,distinct_target_sectors,deal_types_observed,sectors_touched,first_transaction_date,most_recent_transaction_date,avg_deals_per_active_year
ACQ-036,Water Street Healthcare,Financial Sponsor,11,3838.8,14.909090909090907,5.029090909090909,6,Bolt-on Acquisition | Platform Investment | Leveraged Buyout | Recapitalization | Bolt-on Acquisition | Recapitalization | Bolt-on Acquisition | Merger of Equals | Carve-out | Minority Investment | Merger of Equals,Physician Groups | Health IT | Health IT | Healthcare Services | Dental | Physician Groups | Dental | Home Health/Hospice | Physician Groups | Health Insurance | Physician Groups,2015-09-11,2024-11-26,1.1
ACQ-006,Molina Healthcare,Strategic,19,8138.000000000002,17.536842105263162,4.525789473684211,8,SPAC Merger | Minority Investment | Carve-out | Platform Investment | Management Buyout | Merger of Equals | SPAC Merger | SPAC Merger | Platform Investment | Minority Investment | Platform Investment | Platform Investment | Minority Investment | Platform Investment | Merger of Equals | Recapitalization | Strategic Acquisition | SPAC Merger | Leveraged Buyout,Revenue Cycle | Dental | Revenue Cycle | Medical Devices | Health Insurance | Dental | Medical Devices | Health Insurance | Dental | Healthcare Services | Pharma/Biotech | Physician Groups | Physician Groups | Pharma/Biotech | Physician Groups | Revenue Cycle | Medical Devices | Home Health/Hospice | Medical Devices,2015-04-23,2024-12-02,1.9
ACQ-029,General Atlantic,Financial Sponsor,10,3662.9,15.37,4.053,7,Carve-out | Bolt-on Acquisition | Management Buyout | Recapitalization | Carve-out | Management Buyout | Platform Investment | Minority Investment | Carve-out | Bolt-on Acquisition,Dental | Dental | Dental | Health Insurance | Physician Groups | Medical Devices | Home Health/Hospice | Pharma/Biotech | Medical Devices | Behavioral Health,2015-04-03,2023-08-12,1.1111111111111112
ACQ-011,Veeva Systems,Strategic,21,9362.199999999999,14.83333333333333,4.725238095238095,9,SPAC Merger | Bolt-on Acquisition | Minority Investment | Management Buyout | Recapitalization | Merger of Equals | Carve-out | Minority Investment | Recapitalization | Carve-out | SPAC Merger | Bolt-on Acquisition | Carve-out | Bolt-on Acquisition | Merger of Equals | Bolt-on Acquisition | Carve-out | Minority Investment | Recapitalization | Platform Investment | Merger of Equals,Physician Groups | Medical Devices | Dental | Medical Devices | Home Health/Hospice | Behavioral Health | Pharma/Biotech | Physician Groups | Behavioral Health | Health IT | Medical Devices | Physician Groups | Dental | Pharma/Biotech | Healthcare Services | Dental | Physician Groups | Health Insurance | Health Insurance | Health IT | Health Insurance,2015-01-17,2024-09-19,2.1
ACQ-033,New Mountain Capital,Financial Sponsor,12,4960.4,15.024999999999999,5.5058333333333325,8,Carve-out | SPAC Merger | Carve-out | Recapitalization | SPAC Merger | Leveraged Buyout | Carve-out | Merger of Equals | Bolt-on Acquisition | Merger of Equals | Bolt-on Acquisition | Leveraged Buyout,Health Insurance | Healthcare Services | Physician Groups | Health IT | Medical Devices | Health IT | Dental | Home Health/Hospice | Behavioral Health | Health IT | Home Health/Hospice | Behavioral Health,2016-02-08,2023-10-13,1.5
ACQ-009,Encompass Health,Strategic,11,3240.5,12.945454545454545,5.005454545454546,6,Management Buyout | Minority Investment | Leveraged Buyout | Minority Investment | Recapitalization | Platform Investment | Merger of Equals | Strategic Acquisition | Strategic Acquisition | Bolt-on Acquisition | Strategic Acquisition,Medical Devices | Revenue Cycle | Physician Groups | Health Insurance | Revenue Cycle | Behavioral Health | Healthcare Services | Physician Groups | Health Insurance | Revenue Cycle | Physician Groups,2016-06-03,2024-02-27,1.2222222222222223
ACQ-030,Summit Partners,Financial Sponsor,22,9142.7,15.572727272727276,4.16,10,Leveraged Buyout | Bolt-on Acquisition | Recapitalization | Carve-out | Merger of Equals | Minority Investment | Strategic Acquisition | Carve-out | Minority Investment | Carve-out | Merger of Equals | Bolt-on Acquisition | Platform Investment | SPAC Merger | Minority Investment | Recapitalization | Recapitalization | Recapitalization | Recapitalization | Bolt-on Acquisition | Platform Investment | Management Buyout,Physician Groups | Physician Groups | Pharma/Biotech | Medical Devices | Revenue Cycle | Revenue Cycle | Physician Groups | Dental | Health IT | Health IT | Behavioral Health | Health Insurance | Home Health/Hospice | Home Health/Hospice | Health Insurance | Healthcare Services | Healthcare Services | Pharma/Biotech | Medical Devices | Medical Devices | Dental | Health Insurance,2015-08-05,2024-07-18,2.2
ACQ-014,HealthStream,Strategic,6,1617.8,22.016666666666666,3.248333333333333,5,SPAC Merger | Minority Investment | Minority Investment | Strategic Acquisition | Platform Investment | Minority Investment,Revenue Cycle | Medical Devices | Dental | Revenue Cycle | Behavioral Health | Health Insurance,2018-05-22,2024-10-04,0.8571428571428571
ACQ-021,KKR,Financial Sponsor,13,4850.0,17.153846153846157,4.060769230769231,8,Minority Investment | Management Buyout | Carve-out | Platform Investment | Recapitalization | Strategic Acquisition | Bolt-on Acquisition | Platform Investment | Bolt-on Acquisition | Carve-out | Recapitalization | Strategic Acquisition | SPAC Merger,Dental | Health IT | Dental | Pharma/Biotech | Behavioral Health | Behavioral Health | Physician Groups | Health Insurance | Health Insurance | Home Health/Hospice | Home Health/Hospice | Pharma/Biotech | Healthcare Services,2016-02-18,2024-07-17,1.4444444444444444
ACQ-039,Apax Partners,Financial Sponsor,11,4243.7,16.454545454545453,5.159090909090909,6,Bolt-on Acquisition | Bolt-on Acquisition | SPAC Merger | Recapitalization | Strategic Acquisition | Platform Investment | Bolt-on Acquisition | Carve-out | Platform Investment | Platform Investment | Carve-out,Home Health/Hospice | Medical Devices | Healthcare Services | Dental | Healthcare Services | Home Health/Hospice | Health Insurance | Behavioral Health | Dental | Home Health/Hospice | Healthcare Services,2015-01-21,2021-07-21,1.5714285714285714
