target_id,target_name,sector,sub_sector,geography,ownership_type,founded_date,employee_count,ltm_revenue_mm,ebitda_margin_pct,revenue_growth_pct
TGT-0001,Quest Health Data,Health IT,EHR/EMR,Southwest,PE-Backed,1991-01-01,5593,664.9,22.7,15.7
TGT-0002,Keystone Healthcare,Healthcare Services,Ambulatory Surgery Centers,Southwest,Physician-Owned,1986-01-01,4647,250.3,25.5,14.1
TGT-0003,Halcyon Smile Partners,Dental,Pediatric Dental,Northeast,PE-Backed,2012-01-01,2837,179.7,13.8,21.7
TGT-0004,Foundation Technologies,Health IT,EHR/EMR,Mid-Atlantic,Public,2001-01-01,6661,234.6,20.4,-0.6
TGT-0005,Continuum Biopharma,Pharma/Biotech,Specialty Pharma,National,Public,1997-01-01,5821,223.2,25.9,22.1
TGT-0006,Legacy Health Analytics,Health IT,Revenue Cycle Tech,West Coast,Family-Owned,2008-01-01,1382,102.9,13.7,4.3
TGT-0007,Cascade Systems,Health IT,Population Health,Southwest,PE-Backed,2014-01-01,3158,197.0,33.0,19.1
TGT-0008,Crest Dental Group,Dental,Oral Surgery,Northeast,Public,2010-01-01,2243,85.1,32.7,14.9
TGT-0009,Voyager Biomedical,Medical Devices,Diagnostic Equipment,Great Plains,PE-Backed,2001-01-01,1193,71.1,23.2,4.2
TGT-0010,Greenfield Managed Care,Health Insurance,Dental Insurance,Mid-Atlantic,PE-Backed,1993-01-01,4224,376.9,28.4,25.1
TGT-0011,Latitude Wellness Group,Behavioral Health,Mental Health Clinics,Southeast,Family-Owned,2009-01-01,4931,737.4,22.3,29.0
TGT-0012,Optima Care Partners,Healthcare Services,Lab Services,Multi-Regional,Public,2006-01-01,963,62.8,12.3,-4.9
TGT-0013,Delta Visiting Health,Home Health/Hospice,Personal Care,Southeast,Nonprofit,2004-01-01,6944,740.7,24.4,0.3
TGT-0014,Zephyr Behavioral,Behavioral Health,Psychiatric Hospitals,National,Public,2016-01-01,209,9.1,17.8,29.5
TGT-0015,Crest Hospice Care,Home Health/Hospice,Hospice,National,Private,1990-01-01,6045,533.9,9.9,21.6
TGT-0016,Sapphire Wellness Group,Behavioral Health,Mental Health Clinics,Midwest,Public,2018-01-01,7196,739.7,34.0,27.5
TGT-0017,Illuminate Smile Partners,Dental,Oral Surgery,Great Plains,Physician-Owned,2013-01-01,1041,62.2,9.7,-4.3
TGT-0018,Halcyon Physician Partners,Physician Groups,Primary Care Groups,Northeast,Private,1988-01-01,1925,73.3,8.8,6.6
TGT-0019,Quest Specialty Medicine,Physician Groups,Primary Care Groups,Southwest,Physician-Owned,1993-01-01,5975,850.0,23.4,11.5
TGT-0020,Forge Revenue Solutions,Revenue Cycle,Patient Financial Services,Southeast,Nonprofit,2012-01-01,2952,238.6,20.6,20.5
TGT-0021,Illuminate Tech Solutions,Health IT,EHR/EMR,Mid-Atlantic,Private,2000-01-01,1619,85.5,20.1,9.8
TGT-0022,Mosaic Home Health,Home Health/Hospice,Home Infusion,Great Plains,Physician-Owned,1991-01-01,464,50.2,22.6,-4.5
TGT-0023,Cascade Health Analytics,Health IT,Revenue Cycle Tech,Great Plains,Family-Owned,1998-01-01,7133,557.3,9.6,8.3
TGT-0024,Prism Biopharma,Pharma/Biotech,Biotech Therapeutics,Mountain West,Nonprofit,2016-01-01,1318,69.6,13.9,-3.0
TGT-0025,Vertex Medical Associates,Physician Groups,Multi-Specialty Groups,Northeast,Physician-Owned,2015-01-01,4169,585.0,22.3,-3.0
TGT-0026,Encore Medical Associates,Physician Groups,Multi-Specialty Groups,National,Private,2000-01-01,3357,149.0,32.0,3.6
TGT-0027,Luminary Health Plans,Health Insurance,Managed Care,Mountain West,Nonprofit,2018-01-01,2641,375.5,13.5,20.1
TGT-0028,Highland Dental Group,Dental,Oral Surgery,West Coast,Family-Owned,2005-01-01,7660,920.9,10.0,11.0
TGT-0029,Frontier Health Coverage,Health Insurance,Managed Care,Southwest,Physician-Owned,2001-01-01,1135,161.2,31.8,25.8
TGT-0030,Alpine Biomedical,Medical Devices,Orthopedic Devices,Multi-Regional,Nonprofit,2004-01-01,5060,749.2,29.8,13.5
TGT-0031,Nexus Physician Partners,Physician Groups,Cardiology Groups,West Coast,Private,1991-01-01,6131,590.9,15.4,16.2
TGT-0032,Onyx Device Solutions,Medical Devices,Diagnostic Equipment,Great Plains,Public,1988-01-01,806,85.5,30.4,-3.5
TGT-0033,Onyx Surgical,Medical Devices,Diagnostic Equipment,Great Plains,Physician-Owned,2012-01-01,4644,144.7,10.0,25.9
TGT-0034,Apex Recovery Centers,Behavioral Health,Psychiatric Hospitals,National,Physician-Owned,1994-01-01,3570,161.7,16.3,26.5
TGT-0035,Haven Care Partners,Healthcare Services,Post-Acute Care,Southwest,Nonprofit,1991-01-01,2947,364.3,31.9,9.2
TGT-0036,Landmark Insurance Solutions,Health Insurance,Medicare Advantage,Midwest,Family-Owned,1986-01-01,1519,179.8,17.0,27.6
TGT-0037,Alpine Dental,Dental,Oral Surgery,Mountain West,Private,2015-01-01,1872,101.0,32.8,7.2
TGT-0038,Meridian Dental Group,Dental,Orthodontics,Mountain West,Public,2002-01-01,7130,273.3,28.9,7.3
TGT-0039,Acumen Medical Practice,Physician Groups,Orthopedic Groups,Northeast,Private,2001-01-01,1512,150.7,34.6,-3.7
TGT-0040,Bridgepoint Benefits Group,Health Insurance,Dental Insurance,Mountain West,Physician-Owned,2017-01-01,997,76.0,23.6,3.9
TGT-0041,Yarrow Biosciences,Pharma/Biotech,Specialty Pharma,Southwest,Public,2012-01-01,623,89.6,32.9,16.8
TGT-0042,Trident Systems,Health IT,Data Analytics,West Coast,Nonprofit,2011-01-01,2722,213.1,16.0,-0.5
TGT-0043,Delta Biosciences,Pharma/Biotech,CDMO,National,Public,2010-01-01,4538,590.2,16.2,2.4
TGT-0044,Westward Managed Care,Health Insurance,Supplemental Insurance,Great Plains,Family-Owned,1998-01-01,4237,367.7,32.3,22.9
TGT-0045,Ridgeline Wellness Group,Behavioral Health,Substance Abuse Treatment,National,Public,1990-01-01,6754,974.2,14.3,5.9
TGT-0046,Meridian Dental,Dental,Orthodontics,Southwest,Family-Owned,1989-01-01,3780,301.4,25.0,1.8
TGT-0047,Illuminate Therapeutics,Pharma/Biotech,CDMO,Midwest,Nonprofit,1985-01-01,7362,884.3,28.8,-1.3
TGT-0048,Delta Biosciences,Pharma/Biotech,Generic Pharma,Great Plains,Private,2000-01-01,7565,997.1,20.3,23.0
TGT-0049,Ironwood Medical Practice,Physician Groups,Anesthesia Groups,Great Plains,Physician-Owned,2017-01-01,3545,459.7,22.8,26.4
TGT-0050,Onyx RCM Services,Revenue Cycle,Patient Financial Services,West Coast,Physician-Owned,2016-01-01,5184,304.4,19.9,20.0
TGT-0051,Zenith Smile Partners,Dental,Oral Surgery,Multi-Regional,Private,1993-01-01,1285,74.2,26.7,19.7
TGT-0052,Junction Digital Health,Health IT,Clinical Decision Support,Multi-Regional,Family-Owned,2011-01-01,560,30.7,19.3,26.7
TGT-0053,Flatiron Managed Care,Health Insurance,Managed Care,Great Plains,Private,2007-01-01,2496,300.6,31.0,28.4
TGT-0054,Benchmark Biosciences,Pharma/Biotech,Drug Delivery,Southwest,Family-Owned,1999-01-01,2285,188.1,8.8,6.8
TGT-0055,Resolute Therapeutics,Pharma/Biotech,Generic Pharma,National,Physician-Owned,1986-01-01,7479,578.0,23.2,-4.1
TGT-0056,Resolute Therapeutics,Pharma/Biotech,Generic Pharma,Northeast,Public,2009-01-01,2731,151.3,16.8,21.6
TGT-0057,Keybridge Biopharma,Pharma/Biotech,Biotech Therapeutics,Southeast,Family-Owned,1986-01-01,6186,586.0,35.0,7.2
TGT-0058,Atlas Software,Health IT,Data Analytics,Northeast,PE-Backed,1997-01-01,6924,224.7,12.1,-0.6
TGT-0059,Integrity Health Analytics,Health IT,Population Health,West Coast,Public,1995-01-01,5013,515.7,28.2,-1.0
TGT-0060,Nexus Wellness Group,Behavioral Health,Autism Services,Northeast,Public,2009-01-01,3299,471.7,13.4,15.7
TGT-0061,Trident Oral Health,Dental,DSO (Dental Support Org),Southeast,Physician-Owned,1987-01-01,2894,271.8,25.9,-2.6
TGT-0062,Keybridge Biomedical,Medical Devices,Surgical Instruments,Southeast,Family-Owned,2008-01-01,5256,720.0,20.4,0.4
